UNIVERSITY NAME,NAME OF MASTER PROGRAM,COUNTRY,CITY,LANG.,SEMESTER,Tuition fee(€)/SEMESTER,APPLY,START,REQUIREMENT,WEBSITE
Johannes Kepler University Linz,Artificial Intelligence  ,Austria,Linz,İngilizce,4,363,01/11/21,01/03/22,IELTS 6 TOEFL 85,
"University of Innsbruck
",Information Systems,Austria,Innsbruck,İngilizce,4,,01/09/21,01/10/21,ENG-B2,
University of Innsbruck ,Computer Science,Austria,Innsbruck,İngilizce,4,,01/09/21,01/10/21,ENG-B2,
Johannes Kepler University Linz,Computer Science,Austria,Linz,İngilizce,4,363,01/11/21,01/03/22,IELTS 6 TOEFL 85,
University of Vienna,Data Science,Austria,Vienna,İngilizce,4,726,01/02/22,01/03/22,IELTS 6.5 TOEFL 87,
Graz University of Technology (TU Graz),Computer Science,Austria,Graz,İngilizce,4,726,01/09/21,01/10/21,IELTS 7 TOEFL 95,
University of Klagenfurt,Informatics  ,Austria,Klagenfurt,İngilizce,4,726,01/09/21,01/10/21,ENG-B2,
,,,,,,,,,,
,,,,,,,,,,
KU Leuven,Artificial Intelligence  ,Belgium,Leuven,İngilizce,2,1750,01/03/22,01/09/22,ENG-B2,
University of Liège,Data Science and Engineering,Belgium,Liège,İngilizce,4,,01/04/22,01/09/22,ENG-B2,
Hasselt University,Statistics and Data Science by distance learning,Belgium,Hasselt,İngilizce,4,1072,01/06/22,01/09/22,IELTS 6.5 TOEFL 79,
University of Liège,Data Science,Belgium,Liège,İngilizce,4,,01/04/22,01/09/22,ENG-B2,
